Serial Port,Voltage (V),Average X,Average Y,Average Z

COM16,0.2846873691086154,-33.67,14.96,-108.43
COM18,0.2846873691086154,-26.25,30.57,-28.68
COM19,0.2846873691086154,1.08,9.09,36.21
COM20,0.2846873691086154,40.85,-34.83,16.15
COM21,0.2846873691086154,-1.78,39.57,-91.27
COM16,0.24789004923718516,-34.61,37.3,-97.36
COM18,0.24789004923718516,-31.85,19.2,-44.47
COM19,0.24789004923718516,3.29,52.59,23.79
COM20,0.24789004923718516,37.74,9.24,4.37
COM21,0.24789004923718516,-9.99,51.58,-80.28
COM16,0.2950126143889021,-34.45,41.5,-103.51
COM18,0.2950126143889021,-30.09,20.33,-41.3
COM19,0.2950126143889021,2.51,53.68,38.36
COM20,0.2950126143889021,38.11,9.36,17.98
COM21,0.2950126143889021,-12.19,51.72,-87.66
COM16,0.08200222666035706,-39.47,26.76,-71.51
COM18,0.08200222666035706,-21.2,15.09,-56.14
COM19,0.08200222666035706,-60.05,54.94,-28.49
COM20,0.08200222666035706,-22.34,9.36,-45.88
COM21,0.08200222666035706,-55.67,54.62,-68.1
COM16,0.19134132643847987,-38.58,36.55,-87.04
COM18,0.19134132643847987,-17.71,18.12,-46.64
COM19,0.19134132643847987,-62.11,57.08,6.2
COM20,0.19134132643847987,-21.08,10.01,-13.19
COM21,0.19134132643847987,-60.2,54.57,-85.09
COM16,0.23039650036220638,-34.55,10.15,-101.48
COM18,0.23039650036220638,-27.53,29.46,-33.74
COM19,0.23039650036220638,2.18,8.26,19.83
COM20,0.23039650036220638,40.45,-35.17,-1.23
COM21,0.23039650036220638,2.15,39.77,-82.82
COM16,0.24586295624166105,-34.4,11.96,-103.9
COM18,0.24586295624166105,-26.88,29.87,-32.11
COM19,0.24586295624166105,1.5,8.79,24.61
COM20,0.24586295624166105,40.61,-34.84,4.16
COM21,0.24586295624166105,1.35,39.39,-84.66
COM16,0.14662468121932,-39.22,32.96,-80.89
COM18,0.14662468121932,-18.99,17.21,-50.74
COM19,0.14662468121932,-61.29,56.24,-8.51
COM20,0.14662468121932,-21.83,9.8,-26.2
COM21,0.14662468121932,-58.67,54.17,-77.81
COM16,0.2013611787886104,-38.19,12.23,-95.03
COM18,0.2013611787886104,-13.26,28.88,-32.5
COM19,0.2013611787886104,-63.86,12.81,10.57
COM20,0.2013611787886104,-18.36,-34.14,-8.71
COM21,0.2013611787886104,-51.04,42.14,-90.76
COM16,0.22459203513806306,-35.72,33.02,-93.99
COM18,0.22459203513806306,-31.93,19.01,-47.52
COM19,0.22459203513806306,3.57,52.19,16.83
COM20,0.22459203513806306,37.3,8.99,-4.14
COM21,0.22459203513806306,-8.77,51.46,-76.77
COM16,0.2144291704141955,-38.66,39.03,-90.84
COM18,0.2144291704141955,-17.21,19.01,-44.75
COM19,0.2144291704141955,-62.27,57.18,13.5
COM20,0.2144291704141955,-21.15,10.43,-5.89
COM21,0.2144291704141955,-61.58,54.27,-88.71
COM16,0.25595834983927424,-37.91,17.31,-102.69
COM18,0.25595834983927424,-11.61,30.41,-28.42
COM19,0.25595834983927424,-58.26,12.76,25.03
COM20,0.25595834983927424,-17.49,-33.47,8.49
COM21,0.25595834983927424,-53.5,42.01,-100.12
COM16,0.09536157817964669,-39.65,28.28,-74.21
COM18,0.09536157817964669,-20.71,16.25,-55.45
COM19,0.09536157817964669,-60.35,54.97,-24.17
COM20,0.09536157817964669,-22.41,9.83,-41.79
COM21,0.09536157817964669,-56.21,54.21,-70.42
COM16,0.11106617992237809,-39.51,29.67,-75.96
COM18,0.11106617992237809,-20.06,16.79,-54.71
COM19,0.11106617992237809,-60.81,55.05,-19.5
COM20,0.11106617992237809,-22.39,9.74,-37.36
COM21,0.11106617992237809,-56.9,54.27,-72.96
COM16,0.10753454656717945,-39.68,29.33,-75.48
COM18,0.10753454656717945,-20.29,16.43,-54.98
COM19,0.10753454656717945,-54.52,49.61,-18.79
COM20,0.10753454656717945,-22.45,10.05,-38.75
COM21,0.10753454656717945,-56.93,54.1,-72.38
COM16,0.022075983432972623,-40.21,21.89,-63.69
COM18,0.022075983432972623,-22.59,14.11,-62.19
COM19,0.022075983432972623,-59.51,53.15,-46.88
COM20,0.022075983432972623,-23.33,8.81,-64.34
